sep=,
"Time","localhost:9100"
2022-10-27 19:46:40,
2022-10-27 19:48:20,
2022-10-27 19:50:00,
2022-10-27 19:51:40,
2022-10-27 19:53:20,
2022-10-27 19:55:00,
2022-10-27 19:56:40,
2022-10-27 19:58:20,
2022-10-27 20:00:00,
2022-10-27 20:01:40,
2022-10-27 20:03:20,
2022-10-27 20:05:00,
2022-10-27 20:06:40,
2022-10-27 20:08:20,
2022-10-27 20:10:00,
2022-10-27 20:11:40,
2022-10-27 20:13:20,
2022-10-27 20:15:00,
2022-10-27 20:16:40,
2022-10-27 20:18:20,
2022-10-27 20:20:00,
2022-10-27 20:21:40,
2022-10-27 20:23:20,
2022-10-27 20:25:00,
2022-10-27 20:26:40,
2022-10-27 20:28:20,
2022-10-27 20:30:00,
2022-10-27 20:31:40,
2022-10-27 20:33:20,
2022-10-27 20:35:00,
2022-10-27 20:36:40,
2022-10-27 20:38:20,
2022-10-27 20:40:00,
2022-10-27 20:41:40,
2022-10-27 20:43:20,
2022-10-27 20:45:00,
2022-10-27 20:46:40,
2022-10-27 20:48:20,
2022-10-27 20:50:00,
2022-10-27 20:51:40,
2022-10-27 20:53:20,
2022-10-27 20:55:00,
2022-10-27 20:56:40,
2022-10-27 20:58:20,
2022-10-27 21:00:00,
2022-10-27 21:01:40,
2022-10-27 21:03:20,
2022-10-27 21:05:00,
2022-10-27 21:06:40,
2022-10-27 21:08:20,
2022-10-27 21:10:00,
2022-10-27 21:11:40,
2022-10-27 21:13:20,
2022-10-27 21:15:00,
2022-10-27 21:16:40,
2022-10-27 21:18:20,
2022-10-27 21:20:00,
2022-10-27 21:21:40,
2022-10-27 21:23:20,
2022-10-27 21:25:00,
2022-10-27 21:26:40,
2022-10-27 21:28:20,
2022-10-27 21:30:00,
2022-10-27 21:31:40,
2022-10-27 21:33:20,
2022-10-27 21:35:00,
2022-10-27 21:36:40,
2022-10-27 21:38:20,
2022-10-27 21:40:00,
2022-10-27 21:41:40,
2022-10-27 21:43:20,
2022-10-27 21:45:00,
2022-10-27 21:46:40,
2022-10-27 21:48:20,
2022-10-27 21:50:00,
2022-10-27 21:51:40,
2022-10-27 21:53:20,
2022-10-27 21:55:00,
2022-10-27 21:56:40,
2022-10-27 21:58:20,
2022-10-27 22:00:00,
2022-10-27 22:01:40,
2022-10-27 22:03:20,
2022-10-27 22:05:00,
2022-10-27 22:06:40,
2022-10-27 22:08:20,
2022-10-27 22:10:00,
2022-10-27 22:11:40,
2022-10-27 22:13:20,
2022-10-27 22:15:00,
2022-10-27 22:16:40,
2022-10-27 22:18:20,
2022-10-27 22:20:00,
2022-10-27 22:21:40,
2022-10-27 22:23:20,
2022-10-27 22:25:00,
2022-10-27 22:26:40,
2022-10-27 22:28:20,
2022-10-27 22:30:00,
2022-10-27 22:31:40,
2022-10-27 22:33:20,
2022-10-27 22:35:00,
2022-10-27 22:36:40,
2022-10-27 22:38:20,
2022-10-27 22:40:00,
2022-10-27 22:41:40,
2022-10-27 22:43:20,0.583
2022-10-27 22:45:00,0.251
2022-10-27 22:46:40,0.114
2022-10-27 22:48:20,0.0513
2022-10-27 22:50:00,0.0524
2022-10-27 22:51:40,0.0525
2022-10-27 22:53:20,0.0639
2022-10-27 22:55:00,0.203
2022-10-27 22:56:40,0.192
2022-10-27 22:58:20,0.248
2022-10-27 23:00:00,0.189
2022-10-27 23:01:40,0.190
2022-10-27 23:03:20,0.172
2022-10-27 23:05:00,0.168
2022-10-27 23:06:40,0.178
2022-10-27 23:08:20,0.194
2022-10-27 23:10:00,0.167
2022-10-27 23:11:40,0.198
2022-10-27 23:13:20,0.181
2022-10-27 23:15:00,0.179
2022-10-27 23:16:40,0.162
2022-10-27 23:18:20,0.152
2022-10-27 23:20:00,0.154
2022-10-27 23:21:40,0.161
2022-10-27 23:23:20,0.179
2022-10-27 23:25:00,0.204
2022-10-27 23:26:40,0.183
2022-10-27 23:28:20,0.188
2022-10-27 23:30:00,0.175
2022-10-27 23:31:40,0.185
2022-10-27 23:33:20,0.185
2022-10-27 23:35:00,0.186
2022-10-27 23:36:40,0.182
2022-10-27 23:38:20,0.177
2022-10-27 23:40:00,0.179
2022-10-27 23:41:40,0.181
2022-10-27 23:43:20,0.188
2022-10-27 23:45:00,0.177
2022-10-27 23:46:40,0.181
2022-10-27 23:48:20,0.188
2022-10-27 23:50:00,0.189
2022-10-27 23:51:40,0.185
2022-10-27 23:53:20,0.182
2022-10-27 23:55:00,0.184
2022-10-27 23:56:40,0.189
2022-10-27 23:58:20,0.185
2022-10-28 00:00:00,0.190
2022-10-28 00:01:40,0.195
2022-10-28 00:03:20,0.196
2022-10-28 00:05:00,0.197
2022-10-28 00:06:40,0.206
2022-10-28 00:08:20,0.190
2022-10-28 00:10:00,0.196
2022-10-28 00:11:40,0.201
2022-10-28 00:13:20,0.214
2022-10-28 00:15:00,0.208
2022-10-28 00:16:40,0.204
2022-10-28 00:18:20,0.183
2022-10-28 00:20:00,0.188
2022-10-28 00:21:40,0.226
2022-10-28 00:23:20,0.209
2022-10-28 00:25:00,0.199
2022-10-28 00:26:40,0.188
2022-10-28 00:28:20,0.180
2022-10-28 00:30:00,0.186
2022-10-28 00:31:40,0.192
2022-10-28 00:33:20,0.193
2022-10-28 00:35:00,0.190
2022-10-28 00:36:40,0.189
2022-10-28 00:38:20,0.208
2022-10-28 00:40:00,0.250
2022-10-28 00:41:40,0.238
2022-10-28 00:43:20,0.217
2022-10-28 00:45:00,0.221
2022-10-28 00:46:40,0.191
2022-10-28 00:48:20,0.242
2022-10-28 00:50:00,0.200
2022-10-28 00:51:40,0.204
2022-10-28 00:53:20,0.196
2022-10-28 00:55:00,0.196
2022-10-28 00:56:40,0.202
2022-10-28 00:58:20,0.170
2022-10-28 01:00:00,0.178
2022-10-28 01:01:40,0.175
2022-10-28 01:03:20,0.169
2022-10-28 01:05:00,0.175
2022-10-28 01:06:40,0.174
2022-10-28 01:08:20,0.174
2022-10-28 01:10:00,0.165
2022-10-28 01:11:40,0.181
2022-10-28 01:13:20,0.174
2022-10-28 01:15:00,0.178
2022-10-28 01:16:40,0.170
2022-10-28 01:18:20,0.165
2022-10-28 01:20:00,0.169
2022-10-28 01:21:40,0.168
2022-10-28 01:23:20,0.175
2022-10-28 01:25:00,0.176
2022-10-28 01:26:40,0.174
2022-10-28 01:28:20,0.179
2022-10-28 01:30:00,0.172
2022-10-28 01:31:40,0.175
2022-10-28 01:33:20,0.179
2022-10-28 01:35:00,0.171
2022-10-28 01:36:40,0.178
2022-10-28 01:38:20,0.283
2022-10-28 01:40:00,0.177
2022-10-28 01:41:40,0.165
2022-10-28 01:43:20,0.112
2022-10-28 01:45:00,0.0828
2022-10-28 01:46:40,0.0909

